informationProvider,id,name,unloadingPort,streetAddressOne,streetAddressTwo,city,state,postalCode,countryCode,latitude,longitude,contact,telephone,email,vesselID,vesselName,imoNumber,vesselFlagState,vesselOwnerName,vesselOrganizationName,fishingGearTypeCode,geofencePolygon,
,,,,,,,,,,,,,,,,,,,,,,polygonPoint,
,,,,,,,,,,,,,,,,,,,,,,seq,value
urn:epc:id:pgln:8004030.00000,urn:gdst:location:loc:1122-bu5-9d3-9992.001,Example Feedmill,,123 Main St.,,Great City,WA,10293,US,,,John Smith,+1.425.688.1288,example001@email.com,,,,,,,,,
urn:epc:id:pgln:8004030.00000,urn:gdst:location:loc:1122-bu5-9d3-9992.002,Example Hatchery,,456 Boulvard St.,,Smallville,OR,2392,US,,,John Smith,+1.425.688.1288,example002@email.com,,,,,,,,,
urn:epc:id:pgln:8004030.00000,urn:gdst:location:loc:1122-bu5-9d3-9992.003,Example Farm,,789 Example Lane,,Louisberg,AZ,23131,US,,,John Smith,+1.425.688.1288,example003@email.com,,,,,,,,,
urn:epc:id:pgln:8004030.00000,urn:gdst:location:loc:7700-vc3-43d-1192.001,Example Fishing Vessel,,18/22 Via Luigi Einaudi,,Cermenate,TX,12345,US,,,John Smith,+1.425.688.1288,example004@email.com,ID-31337-001,Fishing Vessel Name,IMO.1234567890,US,Some Example Owner Name,Some Example Orginzation,3.2,,
urn:epc:id:pgln:8004030.00000,urn:gdst:location:loc:7700-vc3-43d-1192.002,Example TransShipment Vessel,,10500 NE 8TH ST STE 1888,,Bellevue,FL,23456,US,,,John Smith,+1.425.688.1288,example005@email.com,ID-31337-002,TransShipment Vessel Name,IMO.0987654321,US,Some Other Example Owner Name,Some Other Example Orginization,,,
urn:epc:id:pgln:8004030.00000,urn:epc:id:sgln:8004030.000001,The Port,PRT,P.O. Box 717,,Honiara,MA,34567,US,,,John Smith,+1.425.688.1288,example003@email.com,,,,,,,,,
urn:epc:id:pgln:8004030.00000,urn:epc:id:sgln:8004030.000002,The Processing Plant,,1 Tuna Drive,,Noro,NY,45678,US,,,John Smith,+1.425.688.1288,example004@email.com,,,,,,,,,
urn:epc:id:pgln:8004030.00000,urn:epc:id:sgln:8004030.000003,The Exporter,,Via XXV Aprile 25,,San Donato Milanese,CA,56789,US,,,John Smith,+1.425.688.1288,example005@email.com,,,,,,,,,
